query,title,image,link,price,mallName,category1,category2,category3,category4,category_simple,situation_tags,mood_tags,style_tags,season_tags
캠퍼스룩 후드티,Campus look hoodie 캠퍼스룩 남자 후드티 맨투맨,https://shopping-phinf.pstatic.net/main_8572442/85724421620.jpg,https://smartstore.naver.com/main/products/8179921297,55000,오케굿예스,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,나이키 남자 캠퍼스 후드티셔츠 클럽 퓨추라 그래픽 풀오버 클래식 후디,https://shopping-phinf.pstatic.net/main_8999981/89999810643.jpg,https://smartstore.naver.com/main/products/12455299896,94900,홍대P컴퍼니,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자후드티 겨울 간절기 기모 대학생 캠퍼스 룩 후드 티셔츠 무지,https://shopping-phinf.pstatic.net/main_5819263/58192631206.20251218220332.jpg,https://search.shopping.naver.com/catalog/58192631206,13470,네이버,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,후드티 스프링 핸드워머 오버핏 티셔츠,https://shopping-phinf.pstatic.net/main_8686671/86866713391.jpg,https://smartstore.naver.com/main/products/9322213068,38900,오버핏 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,핀터 굿바이 로스엔젤레스 후드티 - 캐주얼 로스엔젤레스 데일리 후드,https://shopping-phinf.pstatic.net/main_8905871/89058716636.jpg,https://smartstore.naver.com/main/products/11514206263,54900,왓어룩,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,슬램 프린팅 후드티,https://shopping-phinf.pstatic.net/main_8693330/86933309693.jpg,https://smartstore.naver.com/main/products/9388809370,57800,JLOOK,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,핀터 굿바이 로스엔젤레스 후드티 - 캐주얼 로스엔젤레스 데일리 후드,https://shopping-phinf.pstatic.net/main_8905871/89058716637.jpg,https://shopping.naver.com/outlink/itemdetail/11514206265,54900,왓어룩,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,핸드스프레이 하트 레터링 오버핏 후드 티셔츠,https://shopping-phinf.pstatic.net/main_8752358/87523581448.jpg,https://smartstore.naver.com/main/products/9979079175,43100,오버핏 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 오버핏 부클 자수 센트럴 오버핏 후드 티셔츠,https://shopping-phinf.pstatic.net/main_8714623/87146233747.jpg,https://smartstore.naver.com/main/products/9601731477,46500,오버핏 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 오버핏 꽈배기 니트 후드티 맨투맨 티셔츠,https://shopping-phinf.pstatic.net/main_8725226/87252261572.jpg,https://smartstore.naver.com/main/products/9707759303,48000,오버핏 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 오버핏 하트 스프레이 레터링 후드 티셔츠 스트릿,https://shopping-phinf.pstatic.net/main_8752375/87523759896.jpg,https://smartstore.naver.com/main/products/9979257623,39900,남자 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 오버핏 1992 스탠다드 후드 티셔츠 4color,https://shopping-phinf.pstatic.net/main_8898325/88983251916.jpg,https://smartstore.naver.com/main/products/11438741551,36000,남자 티셔츠,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,1989스탠다드 캐쥬얼 캠퍼스룩 후드 티셔츠 SY0167,https://shopping-phinf.pstatic.net/main_5824438/58244387194.20251223153303.jpg,https://search.shopping.naver.com/catalog/58244387194,54000,네이버,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,아디다스 오리지널 남성 캠퍼스 후드티 블랙,https://shopping-phinf.pstatic.net/main_8494680/84946804399.jpg,https://smartstore.naver.com/main/products/7402304077,122000,젠머샵,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,캠퍼스후드티 커플후드티,https://shopping-phinf.pstatic.net/main_8753334/87533348048.1.jpg,https://smartstore.naver.com/main/products/9988845775,48900,하이파운드.,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,(쿠폰1000) 이중지 캐스케이드 캠퍼스 후드티 4컬러,https://shopping-phinf.pstatic.net/main_8887676/88876769812.jpg,https://smartstore.naver.com/main/products/11332259481,39800,태가나네,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,챔피온 재팬 직영점 한정판 리버스위브 캠퍼스 후드티,https://shopping-phinf.pstatic.net/main_8374775/83747754670.jpg,https://smartstore.naver.com/main/products/6203255092,193000,셀렉샵 리코,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,룩하루 루나틱 캠퍼스 후드 [4colors 남자 오버 핏 두꺼운 헤비 후드티 남성 후드 레터링 빅 사이즈 맨투맨 티셔츠 모자큰 스트릿 힙합 가을 겨울 캐주얼 룩],https://shopping-phinf.pstatic.net/main_8764920/87649201264.jpg,https://smartstore.naver.com/main/products/10104698494,39500,룩하루,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 데일리 봄 가을 겨울 캠퍼스룩 오버핏 후드티,https://shopping-phinf.pstatic.net/main_8973387/89733877865.jpg,https://smartstore.naver.com/main/products/12189367160,15620,민들레샾,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 후드티,남자 오버핏 프린팅 기모후드티 남성 캠퍼스룩 남친룩 루즈핏후드 빅사이즈포함 2컬러,https://shopping-phinf.pstatic.net/main_8850992/88509921191.jpg,https://smartstore.naver.com/main/products/10965415148,11900,제이오상점,패션의류,남성의류,티셔츠,,상의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 청바지,옷자락 여자 다트 벌룬 와이드 캣워싱 연청 캠퍼스룩 청바지,https://shopping-phinf.pstatic.net/main_5977698/59776983574.20260424005202.jpg,https://search.shopping.naver.com/catalog/59776983574,35400,네이버,패션의류,여성의류,청바지,,하의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
캠퍼스룩 청바지,옷자락 여자 봄 부츠컷 맥시 와이드진 워싱 캠퍼스룩 청바지,https://shopping-phinf.pstatic.net/main_5325193/53251934128.20250509004633.jpg,https://search.shopping.naver.com/catalog/53251934128,27720,네이버,패션의류,여성의류,청바지,,하의,"데일리,캠퍼스","캐주얼,편안한","데일리룩,캠퍼스룩","가을,봄"
